Format,Model Path,Model Size (MB),mAP@50,mAP@50-95,Precision,Recall,Latency (ms),FPS,Error
pt,/home/abdallah/Coding/DEPI-Project/Road-Sense/models/exports/best-3classes-exp34332-original.pt,38.65,0.9867,0.9867,0.875,0.9852,37.07,26.97,
torchscript,/home/abdallah/Coding/DEPI-Project/Road-Sense/models/exports/best-3classes-exp34332.torchscript,77.08,0.9867,0.9867,0.875,0.9852,37.25,26.84,
onnx,/home/abdallah/Coding/DEPI-Project/Road-Sense/models/exports/best-3classes-exp34332.onnx,38.32,0.9867,0.9867,0.875,0.9852,369.59,2.71,
