Model,mAP@50,mAP@50-95,Precision,Recall,Latency (ms),FPS
Custom Model,0.9071,0.729,0.9073,0.9586,39.68,25.2
YOLOv11m,0.2683,0.158,0.5871,0.6836,39.47,25.34
